time (seconds)	tps
1		 12610.95 
2		     0.00  
3		     0.00  
4		 52671.00  
5		173674.00 
6		162015.00 
7		158186.00 
8		180437.00 
9		170352.00 
10		154871.00 
11		166016.00 
12		160065.00 
13		127175.00 
14		166716.00 
15		185427.00 
16		187626.00 
17		197425.00 
18		147892.00 
19		194262.00 
20		217182.00 
21		210611.00 
22		244872.00 
23		239176.00 
24		232790.00 
25		218567.00 
26		258459.00 
27		267493.00 
28		275134.00 
29		295016.00 
30		271145.00 
31		269328.00 
32		281339.00 
33		263381.00 
34		257406.00 
35		279332.00 
36		280394.00 
37		270296.00 
38		280456.00 
39		281684.00 
40		266978.00 
41		280018.00 
42		272704.00 
43		285812.00 
44		293564.00 
45		248026.00 
46		293927.00 
47		267437.00 
48		228355.00 
49		272547.00 
50		306070.00 
51		285815.00 
52		295250.00 
53		294745.00 
54		284039.00 
55		286974.00 
56		285483.00 
57		277008.00 
58		267503.00 
59		311936.00 
60		285618.00 
61		285549.00 
62		285539.00 
63		284153.00 
64		286944.00 
65		285040.00 
66		286029.00 
67		285549.00 
68		285551.00 
69		284534.00 
70		286547.00 
71		285533.00 
72		285343.00 
73		285489.00 
74		270855.00 
75		286036.00 
76		277677.00 
77		307766.00 
78		285178.00 
79		285539.00 
80		284757.00 
81		268486.00 
82		302476.00 
83		274414.00 
84		296347.00 
85		285924.00 
86		285253.00 
87		285543.00 
88		284583.00 
89		286532.00 
90		285312.00 
91		254399.00 
92		276614.00 
93		295463.00 
94		304461.00 
95		281830.00 
96		289078.00 
97		285503.00 
98		278641.00 
99		292239.00 
100		285444.00 
101		285458.00 
102		285329.00 
103		285724.00 
104		285447.00 
105		285483.00 
106		285516.00 
107		285470.00 
108		285433.00 
109		285466.00 
110		285486.00 
111		258988.00 
112		312109.00 
113		285428.00 
114		285547.00 
115		285558.00 
116		285573.00 
117		285555.00 
118		285554.00 
119		285534.00 
120		285547.00 
121		285561.00 
122		285563.00 
123		285372.00 
124		285763.00 
125		285537.00 
126		285473.00 
127		285463.00 
128		285603.00 
129		285574.00 
130		285312.00 
131		285356.00 
132		246323.00 
133		321584.00 
134		288573.00 
135		285593.00 
136		285477.00 
137		285452.00 
138		285578.00 
139		285545.00 
140		285430.00 
141		283403.00 
142		267739.00 
143		271893.00 
144		304641.00 
145		264618.00 
146		306544.00 
147		285543.00 
148		280287.13 
149		287857.00 
150		285623.00 
151		285461.00 
152		274075.00 
153		292652.00 
154		279541.00 
155		268159.00 
156		306043.00 
157		277314.00 
158		288361.00 
159		290816.00 
160		285478.00 
161		285013.00 
162		203804.00 
163		190413.00 
164		190816.00 
165		190816.00 
166		190816.00 
167		190816.00 
168		191011.00 
169		190621.00 
170		191245.00 
171		190387.00 
172		190816.00 
173		185930.00 
174		156590.00 
175		156743.00 
176		156713.00 
177		156636.00 
178		156682.00 
179		156663.00 
180		156724.00 
181		156661.00 
182		156645.00 
183		156680.00 
184		156703.00 
185		156679.00 
186		156680.00 
187		156660.00 
188		156677.00 
189		156641.00 
190		156699.00 
191		156670.00 
192		156665.00 
193		156684.00 
194		156722.00 
195		156649.00 
196		156661.00 
197		156681.00 
198		156711.00 
199		156648.00 
200		156715.00 
201		156685.00 
202		156641.00 
203		156687.00 
204		154799.00 
205		158459.00 
206		148144.00 
207		165308.00 
208		156668.00 
209		156667.00 
210		156687.00 
211		156670.00 
212		156663.00 
213		156703.00 
214		156678.00 
215		156675.00 
216		156718.00 
217		156627.00 
218		156718.00 
219		156566.00 
220		156798.00 
221		156632.00 
222		156691.00 
223		155721.00 
224		157600.00 
225		156696.00 
226		156658.00 
227		156680.00 
228		156695.00 
229		156703.00 
230		156685.00 
231		156673.00 
232		156630.00 
233		156697.00 
234		156676.00 
235		156704.00 
236		156634.00 
237		156700.00 
238		156686.00 
239		156646.00 
240		156681.00 
241		156659.00 
242		156709.00 
243		156683.00 
244		156690.00 
245		156645.00 
246		156693.00 
247		156656.00 
248		156705.00 
249		156656.00 
250		156667.00 
251		156692.00 
252		156674.00 
253		156656.00 
254		156698.00 
255		156634.00 
256		156700.00 
257		156668.00 
258		156689.00 
259		156713.00 
260		156658.00 
261		156663.00 
262		156683.00 
263		156654.00 
264		156654.00 
265		156682.00 
266		156685.00 
267		156694.00 
268		156649.00 
269		156709.00 
270		156671.00 
271		156655.00 
272		156685.00 
273		156672.00 
274		156715.00 
275		156650.00 
276		156673.00 
277		156709.00 
278		156628.00 
279		156258.00 
280		155284.00 
281		158486.00 
282		156684.00 
283		156710.00 
284		156632.00 
285		156677.00 
286		156708.00 
287		156697.00 
288		156700.00 
289		156621.00 
290		156689.00 
291		156653.00 
292		156707.00 
293		156690.00 
294		156666.00 
295		156681.00 
296		156656.00 
297		156720.00 
298		156670.00 
299		156658.00 
300		156692.00 
301		156697.00 
302		156658.00 
303		156648.00 
304		107570.00 
305		    43.00  
306		    47.00  
307		     0.00  
308		     0.00  
309		     0.00  
